vehicle_id,vehicle_type,capacity,registration_number,driver_id
19be1cbf-2b37-4968-b24e-08c489e03f7a,Truck,7,66Q 245,97880e7d-7667-46cf-9f84-57b0bae8953b
1815498b-c55a-4a0d-851f-b76323d9fa2a,Van,6,PHC-237,9cabb8f5-1d21-4c83-b544-6d6c6d1d187e
f9b23406-accc-4075-be8d-66482e382062,Van,8,49S 444,08a0238d-ffc9-4502-89fd-ea45fa3f79e3
30451656-79b1-4f07-95cc-8e7213012343,SUV,4,PEH-6526,ac170dc4-72b0-472c-8d78-c1f8081fbb6c
af6d443c-9bbb-443a-97eb-ab0062eb14dd,Van,3,XDH X20,af36af12-be10-4461-b016-1795930d797b
66d337a8-6e04-43da-a4ef-d01d621eca65,Sedan,3,FNE-309,8373bab3-3830-41f1-b86c-bd050adde141
4bad9de1-0d2f-417e-aafd-3dc966602afc,Van,6,1911 NM,36cd5701-7b88-4730-bf16-0e4cf0ab9d06
459b5c83-37bf-44eb-9c0e-dd220f3653e9,Truck,1,778 AS1,daa574ef-05fd-45e7-98b5-9684022350c9
2d96fa52-c4e7-4e4d-ab1c-9a06dffde1aa,SUV,1,377 9306,301b2e97-9090-48d4-8b0a-769be0f35e19
d5bb213e-0884-49a9-b593-ba9629137a4d,Truck,2,J48 3AK,ce0729b2-6723-4b24-b614-f75905dd0bfc
580920bf-7eb4-44a0-b660-934327402b6d,Truck,5,369 APH,0097bea3-8592-4ae3-99ff-acd1b959a8ea
50a8eb22-168a-4757-8db7-8d933f73463c,SUV,4,638 YIH,1611a851-106a-4c96-8a84-4859ba9df27b
63e66018-331f-469c-a0f8-b4d70d0ea77b,SUV,10,844 VSB,cc59913c-18eb-4a2e-85e8-7c5bc0141004
6cb0d64b-b66d-4034-a598-f2a21a292e14,Van,9,969 WHX,43422a6a-72da-4f0c-82ed-17f19c48fbc9
47ace7c7-b8c0-4ce4-b070-93c750c42960,SUV,2,D08-32Y,f2fc9a55-f76f-4a4b-b153-9172ef478a0f
48e0198d-2d6c-406a-954e-3cc0a561714f,Sedan,9,AE-5198,7d6fe779-804a-40eb-bb53-b4cd495e8675
c866c7a3-60c5-4bc9-9a0d-ec23fee407ae,SUV,8,58-4760B,5ba9dfea-1475-40da-a613-a5bf6864da57
edfaba5f-2a36-4e90-b194-dcb609204103,Van,3,TLG6334,d16a0cd9-bb7a-472e-992e-9e2042f78ae9
7a2e0b5d-c8eb-4397-8747-18323812eab7,Truck,5,LIA 288,bbe6efc8-2cbf-42a4-905b-59c8e71a3141
d14e0f74-f47f-45ac-bf16-f3be54030271,Truck,10,9HU Q91,1ae619be-900a-4025-adef-5974068ed9e2
58ee2a35-1ecf-4d12-ac79-05a10f319c65,SUV,10,XTY 1646,beb52d2b-486a-4875-a1c5-9771b9f43a20
cfeb31c7-364a-45b7-8498-5d17ba323d71,SUV,2,ZFC8438,48a8f4d3-9e22-467d-bf23-2a47b32a97b2
dd6d2d0b-c8fe-4907-8857-93d5f7f5909a,SUV,1,098 3IW,9c18d3cc-921a-4af3-9ffc-ebae92d839b9
1506b5ee-10b3-4cb2-b1f2-6a93d25df78f,SUV,8,417 ECG,9c47c816-03d4-4292-8646-9a013d802e0c
1a797e4b-185b-4d67-b60f-f55f58484fc2,Sedan,5,607 6151,6e95ae7d-cf43-4548-9a6d-617133cfa37c
c6ae109a-6f3f-483a-875a-a7806f889f58,Sedan,5,699 NSP,ad2fc53e-84c9-4150-aa16-3e4daea178d4
3fe56d74-ae60-49a9-a450-ac8054a1bb6b,SUV,5,CTW-0615,deb1b507-7f54-4fc3-ae70-d8f6448f9c4e
cd03fdc0-a310-45f3-af6c-a661bf186546,SUV,7,NOB-864,45debebb-32bf-4d55-8c34-d198c7c850f8
f0b76c85-0aae-41ab-9195-4057f53eddf2,Van,9,HV 60369,7e01a70d-eb20-49e5-8e0a-133fefbf077a
6adf6463-c432-4918-9e4a-05de988d6251,Truck,9,VJV 378,495f44ef-8600-49fc-9cd8-98668a59dcb8
c6212b6e-902d-480a-8785-4c2e3bc8f89a,Van,9,646 PKZ,6400eaeb-b881-4fd8-8687-9f77c264c2c2
